Time(in sec),N = 1,N = 3,N = 5,N = 7,N = 10,N = 15,N = 20,N = 30,N = 40,N = 50,,N = 0,N = 3 ,N = 5,N = 7 ,N = 10,N = 15 ,N = 20 ,N = 30,N = 40,N = 50
0,0.115916,0,0,0,0,0,0,0,0,0,,Baseline,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE
0.066667,0.111625,0,0,0,0,0,0,0,0,0,,Error = 0,0.00877646432512,0.014375063693483,0.020318545364895,0.029596828228709,0.040636751933008,0.057688228539015,0.072991954034619,0.092774625136868,0.119854723318442
0.133333,0.111437,0.111437,0,0,0,0,0,0,0,0,,,,,,,,,,,
0.2,0.111527,0.111437,0,0,0,0,0,0,0,0,,,,,,,,,,,
0.266667,0.111304,0.111437,0.111304,0,0,0,0,0,0,0,,,,,,,,,,,
0.333333,0.112088,0.112088,0.111304,0,0,0,0,0,0,0,,,,,,,,,,,
0.4,0.112029,0.112088,0.111304,0.112029,0,0,0,0,0,0,,,,,,,,,,,
0.466667,0.112875,0.112088,0.111304,0.112029,0,0,0,0,0,0,,,,,,,,,,,
0.533333,0.1117,0.1117,0.111304,0.112029,0,0,0,0,0,0,,,,,,,,,,,
0.6,0.108729,0.1117,0.108729,0.112029,0.108729,0,0,0,0,0,,,,,,,,,,,
0.666667,0.107299,0.1117,0.108729,0.112029,0.108729,0,0,0,0,0,,,,,,,,,,,
0.733333,0.107178,0.107178,0.108729,0.112029,0.108729,0,0,0,0,0,,,,,,,,,,,
0.8,0.107326,0.107178,0.108729,0.112029,0.108729,0,0,0,0,0,,,,,,,,,,,
0.866667,0.109592,0.107178,0.108729,0.109592,0.108729,0,0,0,0,0,,,,,,,,,,,
0.933333,0.110548,0.110548,0.110548,0.109592,0.108729,0.110548,0,0,0,0,,,,,,,,,,,
1,0.112397,0.110548,0.110548,0.109592,0.108729,0.110548,0,0,0,0,,,,,,,,,,,
1.066667,0.113957,0.110548,0.110548,0.109592,0.108729,0.110548,0,0,0,0,,,,,,,,,,,
1.133333,0.114651,0.114651,0.110548,0.109592,0.108729,0.110548,0,0,0,0,,,,,,,,,,,
1.2,0.115501,0.114651,0.110548,0.109592,0.108729,0.110548,0,0,0,0,,,,,,,,,,,
