Time(in sec),338 x 778,300 x 600,200 x 400,150 x 200,100 x 100,50 x 100,50 x 50,,,,,338 x 738,300 x 600,200 x 400,150 x 200,100 x 100,50 x 100,50 x 50
0,0.115916,0.114794,0.114562,0.115133,0.1148,0.1148,0.1164,,,,,Baseline,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE
0.066667,0.111625,0.110617,0.110812,0.1115,0.1093,0.1094,0.108,,,,,Error = 0,0.001343423322542,0.001407743499173,0.001799515349279,0.002008533358977,0.002672413067014,0.003313359562335
0.133333,0.111437,0.110517,0.110787,0.11,0.1111,0.108,0.11,,,,,N = 1,,,,,,
0.2,0.111527,0.110717,0.110937,0.110333,0.1117,0.1126,0.1096,,,,,for,,,,,,
0.266667,0.111304,0.110433,0.110425,0.1102,0.1088,0.1096,0.1116,,,,,all,,,,,,
0.333333,0.112088,0.111167,0.110912,0.111967,0.1109,0.1106,0.1112,,,,,cases,,,,,,
0.4,0.112029,0.110939,0.111125,0.110667,0.1097,0.1112,0.1104,,,,,,,,,,,
0.466667,0.112875,0.111656,0.111937,0.111967,0.1106,0.1104,0.1116,,,,,,,,,,,
0.533333,0.1117,0.110533,0.110675,0.1103,0.1109,0.1092,0.1116,,Time,,,,,,,,,
0.6,0.108729,0.107344,0.106975,0.107967,0.1081,0.1074,0.1052,,338 x 778,,,,,,,,,
0.666667,0.107299,0.106017,0.105925,0.1059,0.1059,0.1062,0.1072,,300 x 600,95,,,,,,,,
0.733333,0.107178,0.106,0.106075,0.105567,0.1063,0.1044,0.1084,,250 x 500,97,,,,,,,,
0.8,0.107326,0.106144,0.105788,0.1068,0.1043,0.1028,0.1096,,200 x 400,99,,,,,,,,
0.866667,0.109592,0.108528,0.108025,0.108467,0.1086,0.1082,0.1072,,150 x 300,98,,,,,,,,
0.933333,0.110548,0.109467,0.10895,0.108467,0.1107,0.1108,0.1112,,150 x 200,99,,,,,,,,
1,0.112397,0.111467,0.111225,0.1116,0.113,0.109,0.1104,,100 x 200,99,,,,,,,,
1.066667,0.113957,0.112606,0.112363,0.1137,0.1133,0.1122,0.1104,,100 x 100,97,,,,,,,,
1.133333,0.114651,0.113617,0.113087,0.1144,0.1145,0.1114,0.1136,,50 x 100,99,,,,,,,,
1.2,0.115501,0.114206,0.113837,0.115533,0.1151,0.1118,0.1152,,50 x 50,98,,,,,,,,
1.266667,0.11755,0.11615,0.116263,0.1171,0.1158,0.1152,0.1144,,,,,,,,,,,
1.333333,0.117253,0.1163,0.116163,0.1169,0.1159,0.116,0.1144,,,,,,,,,,,
1.4,0.11835,0.117244,0.116687,0.1188,0.1178,0.117,0.1152,,,,,,,,,,,
1.466667,0.119428,0.118544,0.1186,0.1185,0.1187,0.1184,0.1156,,,,,,,,,,,
1.533333,0.12047,0.119683,0.119487,0.119833,0.1202,0.1204,0.1164,,,,,,,,,,,
1.6,0.123029,0.122083,0.122025,0.122433,0.1225,0.124,0.1188,,,,,,,,,,,
1.666667,0.12605,0.124989,0.1252,0.1251,0.1262,0.126,0.1224,,,,,,,,,,,
1.733333,0.127151,0.126167,0.126238,0.1265,0.1252,0.1254,0.1236,,,,,,,,,,,
1.8,0.129514,0.128483,0.128438,0.1288,0.1296,0.1276,0.1256,,,,,,,,,,,
1.866667,0.132935,0.131978,0.131675,0.132,0.1336,0.1324,0.1292,,,,,,,,,,,
1.933333,0.132892,0.131822,0.13185,0.1313,0.133,0.133,0.1268,,,,,,,,,,,
2,0.133445,0.13225,0.132412,0.132067,0.132,0.1314,0.1284,,,,,,,,,,,
2.066667,0.135044,0.133928,0.1343,0.133833,0.1352,0.1342,0.1332,,,,,,,,,,,
2.133333,0.135067,0.133789,0.134313,0.1333,0.1356,0.1336,0.1336,,,,,,,,,,,
2.2,0.13591,0.134828,0.134412,0.134567,0.1356,0.134,0.1336,,,,,,,,,,,
2.266667,0.136572,0.135633,0.13505,0.135067,0.1362,0.1344,0.1344,,,,,,,,,,,
2.333333,0.137078,0.135933,0.1359,0.134867,0.1373,0.136,0.1368,,,,,,,,,,,
2.4,0.13756,0.136339,0.136437,0.135133,0.1367,0.1364,0.1368,,,,,,,,,,,
2.466667,0.139409,0.138572,0.138788,0.137833,0.1383,0.1382,0.1368,,,,,,,,,,,
2.533333,0.140757,0.139356,0.1396,0.139067,0.1395,0.1396,0.1364,,,,,,,,,,,
2.6,0.142121,0.141111,0.14125,0.141167,0.1417,0.1416,0.1388,,,,,,,,,,,
2.666667,0.144116,0.14295,0.143125,0.142433,0.1435,0.1414,0.1428,,,,,,,,,,,
2.733333,0.145374,0.1442,0.143975,0.144,0.1448,0.1434,0.1436,,,,,,,,,,,
2.8,0.146796,0.145828,0.145487,0.145367,0.1455,0.146,0.146,,,,,,,,,,,
2.866667,0.146988,0.145922,0.145725,0.145767,0.1449,0.1444,0.1472,,,,,,,,,,,
2.933333,0.149265,0.1479,0.1471,0.146867,0.15,0.146,0.1504,,,,,,,,,,,
3,0.148971,0.147861,0.1474,0.147667,0.1486,0.1454,0.1508,,,,,,,,,,,
3.066667,0.148896,0.147922,0.147262,0.1474,0.1485,0.1448,0.1512,,,,,,,,,,,
3.133333,0.148677,0.147689,0.146975,0.146233,0.1475,0.1452,0.15,,,,,,,,,,,
3.2,0.14807,0.147161,0.14655,0.1464,0.1477,0.145,0.1512,,,,,,,,,,,
3.266667,0.14778,0.146911,0.146225,0.1455,0.1466,0.1438,0.1484,,,,,,,,,,,
3.333333,0.148896,0.148006,0.147588,0.147633,0.1479,0.1452,0.1488,,,,,,,,,,,
3.4,0.150131,0.149478,0.148888,0.1482,0.1502,0.1456,0.1484,,,,,,,,,,,
3.466667,0.152306,0.151706,0.150812,0.1504,0.1504,0.1484,0.154,,,,,,,,,,,
3.533333,0.153509,0.152906,0.152037,0.151733,0.1519,0.1508,0.1572,,,,,,,,,,,
3.6,0.1553,0.1545,0.153888,0.153867,0.154,0.152,0.1588,,,,,,,,,,,
3.666667,0.157541,0.156594,0.156587,0.156367,0.1551,0.1544,0.1596,,,,,,,,,,,
3.733333,0.158211,0.157567,0.157438,0.156733,0.1567,0.1532,0.1608,,,,,,,,,,,
3.8,0.159994,0.159283,0.1592,0.158633,0.1586,0.1582,0.162,,,,,,,,,,,
